Zone;Cluster;OLT (AMS);Territoire;Observations
AFIDENYIGBAN;AFIDENYIGBAN 4;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 5;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 6;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 7;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 8;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 9;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 10;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 11;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 12;AFIDEGNIGBAN-FX8;LOME;
AFIDENYIGBAN;AFIDENYIGBAN 13;AFIDEGNIGBAN-FX8;LOME;
ATCHANGBADE;ATCHANGBADE 1;ATCHANGBADE;REGION;
AWANDJELO;AWANDJELO 1;AWANDJELO;REGION;
ZOSSIME;ZOSSIME 7;ZOSSIME-FX8;LOME;
ZOSSIME;ZOSSIME 8;ZOSSIME-FX8;LOME;
ZOSSIME;ZOSSIME 9;ZOSSIME-FX8;LOME;
BAFILO;BAFILO 1;BAFILO-FX4;REGION;
BAFILO;BAFILO 2;BAFILO-FX4;REGION;
BAFILO;BAFILO 3;BAFILO-FX4;REGION;

