date;active;suspend;temp_deactive;deactive
2023-08-09;31809;7661;16857;4960.0
2023-08-08;31497;7806;16908;4964.0
2023-08-07;31571;7702;16926;4968.0
2023-08-06;31840;7431;16924;4969.0
2023-08-05;32054;7183;16938;4970.0
2023-08-04;32142;7005;16970;4971.0
2023-08-03;32228;6803;16986;4971.0
2023-08-02;32097;6799;17025;4976.0
2023-08-01;32058;6741;17067;4977.0
2023-07-31;31539;7197;17075;5508.0
2023-07-30;31977;6752;17082;5508.0
2023-07-29;31919;6733;17117;5508.0
2023-07-28;31775;6785;17148;5510.0
2023-07-27;31866;6596;17202;5510.0
2023-07-26;32335;6038;17214;5510.0
2023-07-25;28347;5802;17222;
2023-07-24;31519;6628;17298;5502.0
2023-07-23;31790;6351;17302;5502.0
2023-07-22;31872;6217;17323;5502.0
2023-07-21;31730;6271;17354;5504.0
2023-07-20;31664;6206;17395;5506.0
2023-07-19;31774;6015;17424;5508.0
2023-07-18;31318;6316;17491;5508.0
2023-07-17;30860;6691;17533;5510.0
2023-07-16;31343;6218;17521;5510.0
2023-07-15;31708;6066;17279;5510.0
2023-07-14;31610;6086;17324;5511.0
2023-07-13;31427;6198;17347;5512.0
2023-07-12;31827;5927;17205;5512.0
2023-07-11;31612;6211;17093;5513.0
2023-07-10;31643;6226;17001;5514.0
2023-07-09;31832;6159;16878;5514.0
2023-07-08;31838;6404;16611;5514.0
2023-07-07;31633;6534;16656;5515.0
2023-07-06;30904;7211;16674;5516.0
2023-07-05;31603;6332;16529;5520.0
2023-07-04;31200;6825;16419;5521.0
2023-07-03;30829;7287;16310;5520.0
2023-07-02;30881;7380;16173;5507.0
2023-07-01;30754;7770;15907;5507.0
2023-06-30;31208;7265;15933;5510.0
2023-06-29;30953;7474;15948;5514.0
2023-06-28;31064;7487;15821;5514.0
2023-06-27;30718;7948;15699;5511.0
2023-06-26;31121;7655;15589;5511.0
2023-06-25;31408;7480;15481;5511.0
2023-06-24;31440;7639;15274;5511.0
2023-06-23;31405;7636;15288;5511.0
2023-06-22;31134;7873;15279;5511.0
2023-06-21;31277;7831;15178;5511.0
2023-06-20;30515;8623;15105;5511.0
2023-06-19;30348;8862;14998;5514.0
2023-06-18;17878;19100;16485;7486.0
2023-06-17;30721;8783;14702;5514.0
2023-06-16;30193;9113;14867;5516.0
2023-06-15;30564;8698;14884;5512.0
2023-06-14;31146;8233;14762;5512.0
2023-06-13;31201;8185;14545;5501.0
2023-06-12;30657;8453;14369;5961.0
2023-06-11;31175;8019;14285;5961.0
2023-06-10;31089;8269;14087;5961.0
2023-06-09;30730;8549;14115;5961.0
2023-06-08;30567;8680;14132;5961.0
2023-06-07;30586;8759;14005;5978.0
2023-06-06;30488;8966;13872;5974.0
2023-06-05;29378;10163;13774;5974.0
2023-06-04;29588;10009;13717;5974.0
2023-06-03;29798;10061;13420;5974.0
2023-06-02;29707;10132;13436;5961.0
2023-06-01;29238;10470;13453;5974.0
